num,id,Province,Place,time,ph,sol,amm,per,toc,Points,Result,Y,rain
2,187,Jilin,Changbailvjiangcun,2015120108,7.18,16.4,1.11,9999,0.17,5,Clean,0,0
2,188,Jilin,Dunhuaxindian,2015120108,7.6,11.02,3.44,9999,0.47,6,Clean,0,0
2,189,Jilin,Xilangkou,2015120108,7.07,10.57,2.28,9999,0.38,6,Clean,0,0
2,190,Hainan,Changhuajiang,2015120108,7.06,7.38,1.19,9999,0.12,5,Clean,0,0
2,191,Heilongjiang,Hulin,2015120108,7.44,10.05,8.03,9999,0.22,8,Clean,0,0
2,192,Hainan,Haikoutieqiaocun,2015120108,7.62,6.7,7.43,9999,0.14,8,Clean,0,0
2,193,Jiangxi,Jiujiangduchang,2015120108,7.05,8.48,3.29,9999,0.15,5,Clean,0,0
2,195,Jilin,Songyuansonglin,2015120108,8.52,14.42,1.12,9999,1.03,7,Clean,0,0
2,196,Heilongjiang,Jiayin,2015120108,7.4,12.32,7.21,9999,0.2,8,Clean,0,0
2,197,Yunnan,Dalixiaoguanyi,2015120108,8.62,8.32,4.41,9999,2.68,15,Polluted,1,0
2,198,Xinjiang,Eerqisinanwanshuiwenzhan,2015120108,7.99,12.9,1.3,9999,-1,3,Clean,0,0
2,199,Xinjiang,63tuanyilihedaqiao,2015120108,8.61,10.47,9.9,9999,0.13,7,Clean,0,0
2,206,Guangxi,Fangchenggangdongxing,2015120108,6.89,8.3,-1,0.57,-1,2,Inconclusive,-,0
2,207,Heilongjiang,Jixizhiyiqiao,2015120108,6.92,3.83,-1,-1,0.29,7,Clean,0,0
2,208,Heilongjiang,Jixidangbizhen,2015120108,7.06,16.37,4.4,-1,0.18,7,Clean,0,0
2,209,Yunnan,Kunmingdianchinanan,2015120108,9.57,11.22,-1,27.7,0.28,13,Polluted,1,0
2,210,Yunnan,Kunmingluojiaying,2015120108,9.52,7.73,7,11.2,0.24,17,Polluted,1,0
2,212,Neimenggu,Hulunbeierbeierhu,2015120108,8.59,11,9.19,15.8,0.07,7,Clean,0,0
2,215,Heilongjiang,Fuyuan,2015120108,7,12.01,7.74,9999,0.25,8,Clean,0,0
2,216,Guangxi,Chongzuobajiaodianzhan,2015120108,8.21,8.83,0.25,0.74,0.02,4,Clean,0,0
2,217,Yunnan,Baoshanhongqiqiao,2015120108,7.87,8.28,1.6,4.41,0.14,4,Clean,0,0
2,218,Heilongjiang,Haerbinhulanhetieluqiao,2015120108,7.67,12.47,3.9,9999,1.36,8,Clean,0,0
2,219,Yunnan,Dalierhaijinhezhan,2015120108,8.27,8.5,4.43,5.11,0.17,7,Clean,0,0
3,5,Zhongqing,Zhutuo,2015120112,8.18,9.6,1.01,9999,0.38,5,Clean,0,7.1
3,8,Zhejiang,Huzhouxintanggang,2015120112,7.42,8.29,2.06,9999,0.57,7,Clean,0,0
3,14,Heilongjiang,Zhaoyuan,2015120112,-1,10.49,6.7,9999,0.34,7,Clean,0,1.5
3,20,Jiangsu,Peicang,2015120112,7.8,10.26,4.15,3.89,0.33,7,Clean,0,0
3,56,Anhui,Anqingwanhekou,2015120112,7.57,8.41,3.17,9999,0.16,6,Clean,0,0
3,59,Anhui,Jieshouqidukou,2015120112,7.86,6.67,7.2,8.4,1.33,11,Polluted,1,0
3,63,Guangdong,Guangzhouchangzhou,2015120112,6.98,3.78,2.32,9999,0.48,9,Clean,0,0
3,67,Jilin,Changchunsonghuajiangcun,2015120112,7.27,10.15,3.2,9999,0.34,6,Clean,0,0.3
3,68,Jilin,Baichengbaishatan,2015120112,7.7,8.98,3.9,9999,0.22,6,Clean,0,0.4
3,69,Heilongjiang,Tongjiang,2015120112,6.89,13.12,-1,9999,0.37,4,Clean,0,0
3,70,Liaoning,Yingkouliaohegongyuan,2015120112,6.93,0.1,3.2,4.1,1.25,17,Polluted,1,2.2
